Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Age Group,66 and over,Northern Ireland,Other senior academic,2017/18,0
Age Group,66 and over,Northern Ireland,Other contract level,2017/18,35
Age Group,66 and over,Northern Ireland,Total,2017/18,55
Age Group,66 and over,Scotland,Professor,2017/18,190
Age Group,66 and over,Scotland,Other senior academic,2017/18,20
Age Group,66 and over,Scotland,Other contract level,2017/18,315
Age Group,66 and over,Scotland,Total,2017/18,525
Age Group,66 and over,Wales,Professor,2017/18,120
Age Group,66 and over,Wales,Other senior academic,2017/18,10
Age Group,66 and over,Wales,Other contract level,2017/18,230
Age Group,66 and over,Wales,Total,2017/18,360
Age Group,66 and over,England,Professor,2018/19,2000
Age Group,66 and over,England,Other senior academic,2018/19,210
Age Group,66 and over,England,Other contract level,2018/19,4600
Age Group,66 and over,England,Total,2018/19,6810
Age Group,66 and over,Northern Ireland,Professor,2018/19,30
Age Group,66 and over,Northern Ireland,Other senior academic,2018/19,0
Age Group,66 and over,Northern Ireland,Other contract level,2018/19,35
Age Group,66 and over,Northern Ireland,Total,2018/19,65
Age Group,66 and over,Scotland,Professor,2018/19,220
Age Group,66 and over,Scotland,Other senior academic,2018/19,15
Age Group,66 and over,Scotland,Other contract level,2018/19,335
Age Group,66 and over,Scotland,Total,2018/19,570
Age Group,66 and over,Wales,Professor,2018/19,105
Age Group,66 and over,Wales,Other senior academic,2018/19,10
Age Group,66 and over,Wales,Other contract level,2018/19,240
Age Group,66 and over,Wales,Total,2018/19,360
Age Group,66 and over,England,Professor,2019/20,2180
Age Group,66 and over,England,Other senior academic,2019/20,210
Age Group,66 and over,England,Other contract level,2019/20,4890
Age Group,66 and over,England,Total,2019/20,7280
Age Group,66 and over,Northern Ireland,Professor,2019/20,40
Age Group,66 and over,Northern Ireland,Other senior academic,2019/20,0
Age Group,66 and over,Northern Ireland,Other contract level,2019/20,35
Age Group,66 and over,Northern Ireland,Total,2019/20,75
Age Group,66 and over,Scotland,Professor,2019/20,255
Age Group,66 and over,Scotland,Other senior academic,2019/20,25
Age Group,66 and over,Scotland,Other contract level,2019/20,350
Age Group,66 and over,Scotland,Total,2019/20,630
Age Group,66 and over,Wales,Professor,2019/20,115
Age Group,66 and over,Wales,Other senior academic,2019/20,5
Age Group,66 and over,Wales,Other contract level,2019/20,255
Age Group,66 and over,Wales,Total,2019/20,380
Age Group,66 and over,England,Professor,2020/21,2155
Age Group,66 and over,England,Other senior academic,2020/21,205
Age Group,66 and over,England,Other contract level,2020/21,4705
Age Group,66 and over,England,Total,2020/21,7060
Age Group,66 and over,Northern Ireland,Professor,2020/21,40
Age Group,66 and over,Northern Ireland,Other senior academic,2020/21,5
Age Group,66 and over,Northern Ireland,Other contract level,2020/21,35
Age Group,66 and over,Northern Ireland,Total,2020/21,80
Age Group,66 and over,Scotland,Professor,2020/21,265
Age Group,66 and over,Scotland,Other senior academic,2020/21,40
Age Group,66 and over,Scotland,Other contract level,2020/21,370
Age Group,66 and over,Scotland,Total,2020/21,675
Age Group,66 and over,Wales,Professor,2020/21,120
Age Group,66 and over,Wales,Other senior academic,2020/21,5
Age Group,66 and over,Wales,Other contract level,2020/21,240
Age Group,66 and over,Wales,Total,2020/21,365
Age Group,66 and over,All,Professor,2016/17,2070
Age Group,66 and over,All,Other senior academic,2016/17,190
Age Group,66 and over,All,Other contract level,2016/17,4830
Age Group,66 and over,All,Total,2016/17,7090
Age Group,66 and over,All,Professor,2017/18,2190
Age Group,66 and over,All,Other senior academic,2017/18,215
Age Group,66 and over,All,Other contract level,2017/18,5030
Age Group,66 and over,All,Total,2017/18,7440
Age Group,66 and over,All,Professor,2018/19,2360
Age Group,66 and over,All,Other senior academic,2018/19,235
Age Group,66 and over,All,Other contract level,2018/19,5205
Age Group,66 and over,All,Total,2018/19,7805
Age Group,66 and over,All,Professor,2019/20,2585
Age Group,66 and over,All,Other senior academic,2019/20,245
Age Group,66 and over,All,Other contract level,2019/20,5535
Age Group,66 and over,All,Total,2019/20,8365
Age Group,66 and over,All,Professor,2020/21,2580
Age Group,66 and over,All,Other senior academic,2020/21,255
Age Group,66 and over,All,Other contract level,2020/21,5350
Age Group,66 and over,All,Total,2020/21,8180
Disability status,Known to have a disability,England,Professor,2016/17,485
Disability status,Known to have a disability,England,Other senior academic,2016/17,170
Disability status,Known to have a disability,England,Other contract level,2016/17,6375
Disability status,Known to have a disability,England,Total,2016/17,7030
Disability status,Known to have a disability,Northern Ireland,Professor,2016/17,10
Disability status,Known to have a disability,Northern Ireland,Other senior academic,2016/17,5
Disability status,Known to have a disability,Northern Ireland,Other contract level,2016/17,140
Disability status,Known to have a disability,Northern Ireland,Total,2016/17,155
Disability status,Known to have a disability,Scotland,Professor,2016/17,65
Disability status,Known to have a disability,Scotland,Other senior academic,2016/17,15
Disability status,Known to have a disability,Scotland,Other contract level,2016/17,495
Disability status,Known to have a disability,Scotland,Total,2016/17,580
Disability status,Known to have a disability,Wales,Professor,2016/17,45
Disability status,Known to have a disability,Wales,Other senior academic,2016/17,15
Disability status,Known to have a disability,Wales,Other contract level,2016/17,370
Disability status,Known to have a disability,Wales,Total,2016/17,430
Disability status,Known to have a disability,England,Professor,2017/18,525
Disability status,Known to have a disability,England,Other senior academic,2017/18,190
Disability status,Known to have a disability,England,Other contract level,2017/18,6755
Disability status,Known to have a disability,England,Total,2017/18,7470
Disability status,Known to have a disability,Northern Ireland,Professor,2017/18,15
Disability status,Known to have a disability,Northern Ireland,Other senior academic,2017/18,5
Disability status,Known to have a disability,Northern Ireland,Other contract level,2017/18,145
Disability status,Known to have a disability,Northern Ireland,Total,2017/18,160
Disability status,Known to have a disability,Scotland,Professor,2017/18,70
Disability status,Known to have a disability,Scotland,Other senior academic,2017/18,20
Disability status,Known to have a disability,Scotland,Other contract level,2017/18,595
Disability status,Known to have a disability,Scotland,Total,2017/18,685
Disability status,Known to have a disability,Wales,Professor,2017/18,45
Disability status,Known to have a disability,Wales,Other senior academic,2017/18,15
Disability status,Known to have a disability,Wales,Other contract level,2017/18,420
Disability status,Known to have a disability,Wales,Total,2017/18,475
Disability status,Known to have a disability,England,Professor,2018/19,540
Disability status,Known to have a disability,England,Other senior academic,2018/19,190
Disability status,Known to have a disability,England,Other contract level,2018/19,7280
Disability status,Known to have a disability,England,Total,2018/19,8010
Disability status,Known to have a disability,Northern Ireland,Professor,2018/19,20
Disability status,Known to have a disability,Northern Ireland,Other senior academic,2018/19,10
Disability status,Known to have a disability,Northern Ireland,Other contract level,2018/19,160
Disability status,Known to have a disability,Northern Ireland,Total,2018/19,190
Disability status,Known to have a disability,Scotland,Professor,2018/19,80
Disability status,Known to have a disability,Scotland,Other senior academic,2018/19,15
Disability status,Known to have a disability,Scotland,Other contract level,2018/19,625
Disability status,Known to have a disability,Scotland,Total,2018/19,725
Disability status,Known to have a disability,Wales,Professor,2018/19,40
Disability status,Known to have a disability,Wales,Other senior academic,2018/19,15
Disability status,Known to have a disability,Wales,Other contract level,2018/19,460
Disability status,Known to have a disability,Wales,Total,2018/19,515
Disability status,Known to have a disability,England,Professor,2019/20,590
Disability status,Known to have a disability,England,Other senior academic,2019/20,195
Disability status,Known to have a disability,England,Other contract level,2019/20,8070
Disability status,Known to have a disability,England,Total,2019/20,8850
Disability status,Known to have a disability,Northern Ireland,Professor,2019/20,20
Disability status,Known to have a disability,Northern Ireland,Other senior academic,2019/20,5
Disability status,Known to have a disability,Northern Ireland,Other contract level,2019/20,170
Disability status,Known to have a disability,Northern Ireland,Total,2019/20,195
Disability status,Known to have a disability,Scotland,Professor,2019/20,80
Disability status,Known to have a disability,Scotland,Other senior academic,2019/20,15
Disability status,Known to have a disability,Scotland,Other contract level,2019/20,690
Disability status,Known to have a disability,Scotland,Total,2019/20,785
Disability status,Known to have a disability,Wales,Professor,2019/20,50
Disability status,Known to have a disability,Wales,Other senior academic,2019/20,15
Disability status,Known to have a disability,Wales,Other contract level,2019/20,490
Disability status,Known to have a disability,Wales,Total,2019/20,555
Disability status,Known to have a disability,England,Professor,2020/21,640
Disability status,Known to have a disability,England,Other senior academic,2020/21,215
Disability status,Known to have a disability,England,Other contract level,2020/21,8685
Disability status,Known to have a disability,England,Total,2020/21,9540
Disability status,Known to have a disability,Northern Ireland,Professor,2020/21,25
Disability status,Known to have a disability,Northern Ireland,Other senior academic,2020/21,10
Disability status,Known to have a disability,Northern Ireland,Other contract level,2020/21,160
Disability status,Known to have a disability,Northern Ireland,Total,2020/21,195
Disability status,Known to have a disability,Scotland,Professor,2020/21,90
Disability status,Known to have a disability,Scotland,Other senior academic,2020/21,20
Disability status,Known to have a disability,Scotland,Other contract level,2020/21,950
Disability status,Known to have a disability,Scotland,Total,2020/21,1060
Disability status,Known to have a disability,Wales,Professor,2020/21,55
Disability status,Known to have a disability,Wales,Other senior academic,2020/21,10
Disability status,Known to have a disability,Wales,Other contract level,2020/21,530
Disability status,Known to have a disability,Wales,Total,2020/21,600
Disability status,Known to have a disability,All,Professor,2016/17,605
Disability status,Known to have a disability,All,Other senior academic,2016/17,210
Disability status,Known to have a disability,All,Other contract level,2016/17,7380
Disability status,Known to have a disability,All,Total,2016/17,8195
Disability status,Known to have a disability,All,Professor,2017/18,655
Disability status,Known to have a disability,All,Other senior academic,2017/18,225
Disability status,Known to have a disability,All,Other contract level,2017/18,7915
Disability status,Known to have a disability,All,Total,2017/18,8795
Disability status,Known to have a disability,All,Professor,2018/19,685
Disability status,Known to have a disability,All,Other senior academic,2018/19,225
Disability status,Known to have a disability,All,Other contract level,2018/19,8525
Disability status,Known to have a disability,All,Total,2018/19,9435
Disability status,Known to have a disability,All,Professor,2019/20,735
Disability status,Known to have a disability,All,Other senior academic,2019/20,230
Disability status,Known to have a disability,All,Other contract level,2019/20,9420
Disability status,Known to have a disability,All,Total,2019/20,10385
Disability status,Known to have a disability,All,Professor,2020/21,810
Disability status,Known to have a disability,All,Other senior academic,2020/21,255
Disability status,Known to have a disability,All,Other contract level,2020/21,10330
Disability status,Known to have a disability,All,Total,2020/21,11395
Disability status,No known disability,England,Professor,2016/17,16370
Disability status,No known disability,England,Other senior academic,2016/17,4815
Disability status,No known disability,England,Other contract level,2016/17,145145
Disability status,No known disability,England,Total,2016/17,166330
Disability status,No known disability,Northern Ireland,Professor,2016/17,270
Disability status,No known disability,Northern Ireland,Other senior academic,2016/17,160
Disability status,No known disability,Northern Ireland,Other contract level,2016/17,2450
Disability status,No known disability,Northern Ireland,Total,2016/17,2885
Disability status,No known disability,Scotland,Professor,2016/17,2225
Disability status,No known disability,Scotland,Other senior academic,2016/17,515
Disability status,No known disability,Scotland,Other contract level,2016/17,16920
Disability status,No known disability,Scotland,Total,2016/17,19655
Disability status,No known disability,Wales,Professor,2016/17,1080
Disability status,No known disability,Wales,Other senior academic,2016/17,350
Disability status,No known disability,Wales,Other contract level,2016/17,8380
Disability status,No known disability,Wales,Total,2016/17,9810
Disability status,No known disability,England,Professor,2017/18,16625
Disability status,No known disability,England,Other senior academic,2017/18,4985
Disability status,No known disability,England,Other contract level,2017/18,146635
Disability status,No known disability,England,Total,2017/18,168245
Disability status,No known disability,Northern Ireland,Professor,2017/18,300
Disability status,No known disability,Northern Ireland,Other senior academic,2017/18,125
Disability status,No known disability,Northern Ireland,Other contract level,2017/18,2580
Disability status,No known disability,Northern Ireland,Total,2017/18,3005
Disability status,No known disability,Scotland,Professor,2017/18,2280
Disability status,No known disability,Scotland,Other senior academic,2017/18,530
Disability status,No known disability,Scotland,Other contract level,2017/18,19340
Disability status,No known disability,Scotland,Total,2017/18,22150
Disability status,No known disability,Wales,Professor,2017/18,1080
Disability status,No known disability,Wales,Other senior academic,2017/18,305
Disability status,No known disability,Wales,Other contract level,2017/18,8390
Disability status,No known disability,Wales,Total,2017/18,9780
Disability status,No known disability,England,Professor,2018/19,17270
Disability status,No known disability,England,Other senior academic,2018/19,4930
Disability status,No known disability,England,Other contract level,2018/19,149680
Disability status,No known disability,England,Total,2018/19,171885
Disability status,No known disability,Northern Ireland,Professor,2018/19,305
Disability status,No known disability,Northern Ireland,Other senior academic,2018/19,170
Disability status,No known disability,Northern Ireland,Other contract level,2018/19,2665
Disability status,No known disability,Northern Ireland,Total,2018/19,3135
Disability status,No known disability,Scotland,Professor,2018/19,2345
Disability status,No known disability,Scotland,Other senior academic,2018/19,510
Disability status,No known disability,Scotland,Other contract level,2018/19,20000
Disability status,No known disability,Scotland,Total,2018/19,22860
Disability status,No known disability,Wales,Professor,2018/19,915
Disability status,No known disability,Wales,Other senior academic,2018/19,345
Disability status,No known disability,Wales,Other contract level,2018/19,8490
Disability status,No known disability,Wales,Total,2018/19,9750
Disability status,No known disability,England,Professor,2019/20,18255
Disability status,No known disability,England,Other senior academic,2019/20,4980
Disability status,No known disability,England,Other contract level,2019/20,153515
Disability status,No known disability,England,Total,2019/20,176750
Disability status,No known disability,Northern Ireland,Professor,2019/20,350
Disability status,No known disability,Northern Ireland,Other senior academic,2019/20,150
Disability status,No known disability,Northern Ireland,Other contract level,2019/20,2815
Disability status,No known disability,Northern Ireland,Total,2019/20,3320
Disability status,No known disability,Scotland,Professor,2019/20,2485
Disability status,No known disability,Scotland,Other senior academic,2019/20,485
Disability status,No known disability,Scotland,Other contract level,2019/20,20490
Disability status,No known disability,Scotland,Total,2019/20,23465
Disability status,No known disability,Wales,Professor,2019/20,980
Disability status,No known disability,Wales,Other senior academic,2019/20,270
Disability status,No known disability,Wales,Other contract level,2019/20,8360
Disability status,No known disability,Wales,Total,2019/20,9610
Disability status,No known disability,England,Professor,2020/21,18205
Disability status,No known disability,England,Other senior academic,2020/21,5005
Disability status,No known disability,England,Other contract level,2020/21,153215
Disability status,No known disability,England,Total,2020/21,176425
Disability status,No known disability,Northern Ireland,Professor,2020/21,350
Disability status,No known disability,Northern Ireland,Other senior academic,2020/21,190
Disability status,No known disability,Northern Ireland,Other contract level,2020/21,2845
Disability status,No known disability,Northern Ireland,Total,2020/21,3385
Disability status,No known disability,Scotland,Professor,2020/21,2520
Disability status,No known disability,Scotland,Other senior academic,2020/21,525
Disability status,No known disability,Scotland,Other contract level,2020/21,20835
Disability status,No known disability,Scotland,Total,2020/21,23880
Disability status,No known disability,Wales,Professor,2020/21,965
Disability status,No known disability,Wales,Other senior academic,2020/21,245
Disability status,No known disability,Wales,Other contract level,2020/21,8230
Disability status,No known disability,Wales,Total,2020/21,9445
Disability status,No known disability,All,Professor,2016/17,19945
Disability status,No known disability,All,Other senior academic,2016/17,5840
Disability status,No known disability,All,Other contract level,2016/17,172890
Disability status,No known disability,All,Total,2016/17,198675
Disability status,No known disability,All,Professor,2017/18,20285
Disability status,No known disability,All,Other senior academic,2017/18,5950
Disability status,No known disability,All,Other contract level,2017/18,176950
Disability status,No known disability,All,Total,2017/18,203185
Disability status,No known disability,All,Professor,2018/19,20835
Disability status,No known disability,All,Other senior academic,2018/19,5960
Disability status,No known disability,All,Other contract level,2018/19,180835
Disability status,No known disability,All,Total,2018/19,207630
Disability status,No known disability,All,Professor,2019/20,22075
Disability status,No known disability,All,Other senior academic,2019/20,5885
Disability status,No known disability,All,Other contract level,2019/20,185185
Disability status,No known disability,All,Total,2019/20,213145
Disability status,No known disability,All,Professor,2020/21,22045
Disability status,No known disability,All,Other senior academic,2020/21,5965
Disability status,No known disability,All,Other contract level,2020/21,185125
Disability status,No known disability,All,Total,2020/21,213135
Ethnicity,White,England,Professor,2016/17,14045
Ethnicity,White,England,Other senior academic,2016/17,4440
Ethnicity,White,England,Other contract level,2016/17,115960
Ethnicity,White,England,Total,2016/17,134445
Ethnicity,White,Northern Ireland,Professor,2016/17,250
Ethnicity,White,Northern Ireland,Other senior academic,2016/17,165
Ethnicity,White,Northern Ireland,Other contract level,2016/17,2285
Ethnicity,White,Northern Ireland,Total,2016/17,2700
Ethnicity,White,Scotland,Professor,2016/17,1900
Ethnicity,White,Scotland,Other senior academic,2016/17,465
Ethnicity,White,Scotland,Other contract level,2016/17,13080
Ethnicity,White,Scotland,Total,2016/17,15445
Ethnicity,White,Wales,Professor,2016/17,960
Ethnicity,White,Wales,Other senior academic,2016/17,345
Ethnicity,White,Wales,Other contract level,2016/17,7360
Ethnicity,White,Wales,Total,2016/17,8665
Ethnicity,White,England,Professor,2017/18,14205
Ethnicity,White,England,Other senior academic,2017/18,4585
Ethnicity,White,England,Other contract level,2017/18,116900
Ethnicity,White,England,Total,2017/18,135690
Ethnicity,White,Northern Ireland,Professor,2017/18,280
Ethnicity,White,Northern Ireland,Other senior academic,2017/18,130
Ethnicity,White,Northern Ireland,Other contract level,2017/18,2370
Ethnicity,White,Northern Ireland,Total,2017/18,2780
Ethnicity,White,Scotland,Professor,2017/18,1935
Ethnicity,White,Scotland,Other senior academic,2017/18,485
Ethnicity,White,Scotland,Other contract level,2017/18,14610
Ethnicity,White,Scotland,Total,2017/18,17030
Ethnicity,White,Wales,Professor,2017/18,950
Ethnicity,White,Wales,Other senior academic,2017/18,300
Ethnicity,White,Wales,Other contract level,2017/18,7360
Ethnicity,White,Wales,Total,2017/18,8615
Ethnicity,White,England,Professor,2018/19,14705
Ethnicity,White,England,Other senior academic,2018/19,4515
Ethnicity,White,England,Other contract level,2018/19,118100
Ethnicity,White,England,Total,2018/19,137315
Ethnicity,White,Northern Ireland,Professor,2018/19,285
Ethnicity,White,Northern Ireland,Other senior academic,2018/19,175
Ethnicity,White,Northern Ireland,Other contract level,2018/19,2405
Ethnicity,White,Northern Ireland,Total,2018/19,2865
Ethnicity,White,Scotland,Professor,2018/19,1990
Ethnicity,White,Scotland,Other senior academic,2018/19,460
Ethnicity,White,Scotland,Other contract level,2018/19,14665
Ethnicity,White,Scotland,Total,2018/19,17115
Ethnicity,White,Wales,Professor,2018/19,800
Ethnicity,White,Wales,Other senior academic,2018/19,340
Ethnicity,White,Wales,Other contract level,2018/19,7335
Ethnicity,White,Wales,Total,2018/19,8470
Ethnicity,White,England,Professor,2019/20,15505
Ethnicity,White,England,Other senior academic,2019/20,4495
Ethnicity,White,England,Other contract level,2019/20,118875
Ethnicity,White,England,Total,2019/20,138875
Ethnicity,White,Northern Ireland,Professor,2019/20,330
Ethnicity,White,Northern Ireland,Other senior academic,2019/20,155
Ethnicity,White,Northern Ireland,Other contract level,2019/20,2485
Ethnicity,White,Northern Ireland,Total,2019/20,2970
Ethnicity,White,Scotland,Professor,2019/20,2075
Ethnicity,White,Scotland,Other senior academic,2019/20,445
Ethnicity,White,Scotland,Other contract level,2019/20,14765
Ethnicity,White,Scotland,Total,2019/20,17290
Ethnicity,White,Wales,Professor,2019/20,865
Ethnicity,White,Wales,Other senior academic,2019/20,265
Ethnicity,White,Wales,Other contract level,2019/20,7150
Ethnicity,White,Wales,Total,2019/20,8275
Ethnicity,White,England,Professor,2020/21,15385
Ethnicity,White,England,Other senior academic,2020/21,4525
Ethnicity,White,England,Other contract level,2020/21,117650
Ethnicity,White,England,Total,2020/21,137555
Ethnicity,White,Northern Ireland,Professor,2020/21,340
Ethnicity,White,Northern Ireland,Other senior academic,2020/21,195
Ethnicity,White,Northern Ireland,Other contract level,2020/21,2495
Ethnicity,White,Northern Ireland,Total,2020/21,3025
Ethnicity,White,Scotland,Professor,2020/21,2120
Ethnicity,White,Scotland,Other senior academic,2020/21,485
Ethnicity,White,Scotland,Other contract level,2020/21,14950
Ethnicity,White,Scotland,Total,2020/21,17555
Ethnicity,White,Wales,Professor,2020/21,870
Ethnicity,White,Wales,Other senior academic,2020/21,235
Ethnicity,White,Wales,Other contract level,2020/21,6770
Ethnicity,White,Wales,Total,2020/21,7875
Ethnicity,White,All,Professor,2016/17,17155
Ethnicity,White,All,Other senior academic,2016/17,5415
Ethnicity,White,All,Other contract level,2016/17,138685
Ethnicity,White,All,Total,2016/17,161255
Ethnicity,White,All,Professor,2017/18,17370
Ethnicity,White,All,Other senior academic,2017/18,5505
Ethnicity,White,All,Other contract level,2017/18,141240
Ethnicity,White,All,Total,2017/18,164115
Ethnicity,White,All,Professor,2018/19,17775
Ethnicity,White,All,Other senior academic,2018/19,5485
Ethnicity,White,All,Other contract level,2018/19,142505
Ethnicity,White,All,Total,2018/19,165765
Ethnicity,White,All,Professor,2019/20,18770
Ethnicity,White,All,Other senior academic,2019/20,5360
Ethnicity,White,All,Other contract level,2019/20,143275
Ethnicity,White,All,Total,2019/20,167405
Ethnicity,White,All,Professor,2020/21,18710
Ethnicity,White,All,Other senior academic,2020/21,5435
Ethnicity,White,All,Other contract level,2020/21,141865
Ethnicity,White,All,Total,2020/21,166010
Ethnicity,Black,England,Professor,2016/17,95
Ethnicity,Black,England,Other senior academic,2016/17,35
Ethnicity,Black,England,Other contract level,2016/17,3020
Ethnicity,Black,England,Total,2016/17,3150
Ethnicity,Black,Northern Ireland,Professor,2016/17,0
Ethnicity,Black,Northern Ireland,Other senior academic,2016/17,0
Ethnicity,Black,Northern Ireland,Other contract level,2016/17,15
Ethnicity,Black,Northern Ireland,Total,2016/17,20
Ethnicity,Black,Scotland,Professor,2016/17,15
Ethnicity,Black,Scotland,Other senior academic,2016/17,5
Ethnicity,Black,Scotland,Other contract level,2016/17,170
Ethnicity,Black,Scotland,Total,2016/17,185
Ethnicity,Black,Wales,Professor,2016/17,10
Ethnicity,Black,Wales,Other senior academic,2016/17,0
Ethnicity,Black,Wales,Other contract level,2016/17,85
Ethnicity,Black,Wales,Total,2016/17,90
Ethnicity,Black,England,Professor,2017/18,100
Ethnicity,Black,England,Other senior academic,2017/18,35
Ethnicity,Black,England,Other contract level,2017/18,3220
Ethnicity,Black,England,Total,2017/18,3355
Ethnicity,Black,Northern Ireland,Professor,2017/18,0
Ethnicity,Black,Northern Ireland,Other senior academic,2017/18,0
Ethnicity,Black,Northern Ireland,Other contract level,2017/18,20
Ethnicity,Black,Northern Ireland,Total,2017/18,20
Ethnicity,Black,Scotland,Professor,2017/18,15
Ethnicity,Black,Scotland,Other senior academic,2017/18,5
Ethnicity,Black,Scotland,Other contract level,2017/18,225
Ethnicity,Black,Scotland,Total,2017/18,245
Ethnicity,Black,Wales,Professor,2017/18,10
Ethnicity,Black,Wales,Other senior academic,2017/18,0
Ethnicity,Black,Wales,Other contract level,2017/18,95
Ethnicity,Black,Wales,Total,2017/18,105
Ethnicity,Black,England,Professor,2018/19,120
Ethnicity,Black,England,Other senior academic,2018/19,40
Ethnicity,Black,England,Other contract level,2018/19,3580
Ethnicity,Black,England,Total,2018/19,3735
Ethnicity,Black,Northern Ireland,Professor,2018/19,0
Ethnicity,Black,Northern Ireland,Other senior academic,2018/19,0
Ethnicity,Black,Northern Ireland,Other contract level,2018/19,25
Ethnicity,Black,Northern Ireland,Total,2018/19,30
Ethnicity,Black,Scotland,Professor,2018/19,15
Ethnicity,Black,Scotland,Other senior academic,2018/19,5
Ethnicity,Black,Scotland,Other contract level,2018/19,245
Ethnicity,Black,Scotland,Total,2018/19,265
Ethnicity,Black,Wales,Professor,2018/19,5
Ethnicity,Black,Wales,Other senior academic,2018/19,0
Ethnicity,Black,Wales,Other contract level,2018/19,105
Ethnicity,Black,Wales,Total,2018/19,110
Ethnicity,Black,England,Professor,2019/20,130
Ethnicity,Black,England,Other senior academic,2019/20,50
Ethnicity,Black,England,Other contract level,2019/20,4075
Ethnicity,Black,England,Total,2019/20,4255
Ethnicity,Black,Northern Ireland,Professor,2019/20,0
Ethnicity,Black,Northern Ireland,Other senior academic,2019/20,0
Ethnicity,Black,Northern Ireland,Other contract level,2019/20,35
Ethnicity,Black,Northern Ireland,Total,2019/20,35
Ethnicity,Black,Scotland,Professor,2019/20,15
Ethnicity,Black,Scotland,Other senior academic,2019/20,0
Ethnicity,Black,Scotland,Other contract level,2019/20,290
Ethnicity,Black,Scotland,Total,2019/20,310
Ethnicity,Black,Wales,Professor,2019/20,5
Ethnicity,Black,Wales,Other senior academic,2019/20,0
Ethnicity,Black,Wales,Other contract level,2019/20,120
Ethnicity,Black,Wales,Total,2019/20,125
Ethnicity,Black,England,Professor,2020/21,135
Ethnicity,Black,England,Other senior academic,2020/21,60
Ethnicity,Black,England,Other contract level,2020/21,4480
Ethnicity,Black,England,Total,2020/21,4675
Ethnicity,Black,Northern Ireland,Professor,2020/21,0
Ethnicity,Black,Northern Ireland,Other senior academic,2020/21,0
Ethnicity,Black,Northern Ireland,Other contract level,2020/21,35
Ethnicity,Black,Northern Ireland,Total,2020/21,40
Ethnicity,Black,Scotland,Professor,2020/21,20
Ethnicity,Black,Scotland,Other senior academic,2020/21,0
Ethnicity,Black,Scotland,Other contract level,2020/21,320
Ethnicity,Black,Scotland,Total,2020/21,340
Ethnicity,Black,Wales,Professor,2020/21,10
Ethnicity,Black,Wales,Other senior academic,2020/21,0
Ethnicity,Black,Wales,Other contract level,2020/21,145
Ethnicity,Black,Wales,Total,2020/21,155
Ethnicity,Black,All,Professor,2016/17,120
Ethnicity,Black,All,Other senior academic,2016/17,35
Ethnicity,Black,All,Other contract level,2016/17,3290
Ethnicity,Black,All,Total,2016/17,3445
Ethnicity,Black,All,Professor,2017/18,125
Ethnicity,Black,All,Other senior academic,2017/18,40
Ethnicity,Black,All,Other contract level,2017/18,3560
Ethnicity,Black,All,Total,2017/18,3725
Ethnicity,Black,All,Professor,2018/19,140
Ethnicity,Black,All,Other senior academic,2018/19,40
Ethnicity,Black,All,Other contract level,2018/19,3955
Ethnicity,Black,All,Total,2018/19,4140
Ethnicity,Black,All,Professor,2019/20,155
Ethnicity,Black,All,Other senior academic,2019/20,55
Ethnicity,Black,All,Other contract level,2019/20,4520
Ethnicity,Black,All,Total,2019/20,4725
Ethnicity,Black,All,Professor,2020/21,160
Ethnicity,Black,All,Other senior academic,2020/21,60
Ethnicity,Black,All,Other contract level,2020/21,4980
Ethnicity,Black,All,Total,2020/21,5205
Ethnicity,Asian,England,Professor,2016/17,1025
Ethnicity,Asian,England,Other senior academic,2016/17,195
Ethnicity,Asian,England,Other contract level,2016/17,14220
Ethnicity,Asian,England,Total,2016/17,15440
Ethnicity,Asian,Northern Ireland,Professor,2016/17,20
Ethnicity,Asian,Northern Ireland,Other senior academic,2016/17,0
Ethnicity,Asian,Northern Ireland,Other contract level,2016/17,185
Ethnicity,Asian,Northern Ireland,Total,2016/17,205
Ethnicity,Asian,Scotland,Professor,2016/17,100
Ethnicity,Asian,Scotland,Other senior academic,2016/17,20
Ethnicity,Asian,Scotland,Other contract level,2016/17,1270
Ethnicity,Asian,Scotland,Total,2016/17,1390
Ethnicity,Asian,Wales,Professor,2016/17,55
Ethnicity,Asian,Wales,Other senior academic,2016/17,5
Ethnicity,Asian,Wales,Other contract level,2016/17,500
Ethnicity,Asian,Wales,Total,2016/17,560
Ethnicity,Asian,England,Professor,2017/18,1075
Ethnicity,Asian,England,Other senior academic,2017/18,215
Ethnicity,Asian,England,Other contract level,2017/18,15180
Ethnicity,Asian,England,Total,2017/18,16465
Ethnicity,Asian,Northern Ireland,Professor,2017/18,20
Ethnicity,Asian,Northern Ireland,Other senior academic,2017/18,0
Ethnicity,Asian,Northern Ireland,Other contract level,2017/18,215
Ethnicity,Asian,Northern Ireland,Total,2017/18,235
Ethnicity,Asian,Scotland,Professor,2017/18,110
Ethnicity,Asian,Scotland,Other senior academic,2017/18,20
Ethnicity,Asian,Scotland,Other contract level,2017/18,1525
Ethnicity,Asian,Scotland,Total,2017/18,1655
Ethnicity,Asian,Wales,Professor,2017/18,70
Ethnicity,Asian,Wales,Other senior academic,2017/18,5
Ethnicity,Asian,Wales,Other contract level,2017/18,555
Ethnicity,Asian,Wales,Total,2017/18,625
Ethnicity,Asian,England,Professor,2018/19,1175
Ethnicity,Asian,England,Other senior academic,2018/19,230
Ethnicity,Asian,England,Other contract level,2018/19,16255
